               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10545,            0.024368,            0.043792,           0.0066805,            0.022673,           0.0037936,          0.00091924,            0.086023,            0.019634,            0.034767,             0.00058,             0.00058,             0.09478
                   1,            0.098542,            0.027092,            0.041806,          0.00095451,            0.030475,          0.00052526,          0.00011703,            0.083294,             0.02091,            0.033799,             0.00117,             0.00117,             0.08947
                   2,            0.094742,            0.028586,            0.040268,           0.0062366,            0.087576,           0.0026054,          0.00052378,            0.081907,            0.036567,            0.043484,           0.0017598,           0.0017598,             0.08416
                   3,            0.095641,            0.028564,            0.038582,            0.012151,            0.047555,           0.0040762,          0.00078523,            0.079266,            0.022276,            0.033323,           0.0023495,           0.0023495,            0.078849
                   4,            0.092601,            0.029642,            0.037111,           0.0046871,             0.34312,           0.0044062,           0.0009578,            0.076839,            0.022496,            0.032431,           0.0029388,           0.0029388,            0.073539
                   5,            0.091473,            0.031174,            0.034842,             0.26834,            0.048939,            0.019442,           0.0043252,            0.076916,            0.022427,            0.039498,           0.0035278,           0.0035278,            0.068228
                   6,            0.087639,            0.030306,            0.031233,            0.019449,             0.35407,            0.013563,           0.0028008,            0.072615,            0.033035,            0.029967,           0.0041163,           0.0041163,            0.062916
                   7,            0.083332,            0.034661,            0.023009,             0.13082,             0.32639,            0.098449,            0.032751,             0.07003,            0.019726,            0.016649,           0.0047043,           0.0047043,            0.057604
                   8,             0.08289,            0.024463,            0.013526,             0.13673,             0.56453,             0.11477,            0.019495,            0.065131,            0.016966,            0.011838,           0.0052916,           0.0052916,            0.052292
                   9,            0.081542,             0.02131,           0.0090884,             0.15474,              0.5493,             0.27279,            0.077754,            0.058821,            0.015697,           0.0079669,           0.0058782,           0.0058782,            0.046978
                  10,            0.078574,            0.019508,           0.0074819,             0.45615,             0.37409,              0.1806,            0.031769,            0.055581,            0.015887,           0.0069279,            0.006464,            0.006464,            0.041664
                  11,             0.07268,            0.020387,           0.0063521,             0.51428,             0.50739,             0.29287,            0.096677,            0.050649,            0.016939,           0.0048109,           0.0070489,           0.0070489,            0.036349
                  12,            0.072095,            0.020163,           0.0058246,             0.21739,             0.48134,              0.3038,             0.12613,            0.050672,            0.016325,            0.004247,           0.0076328,           0.0076328,            0.031033
                  13,            0.070046,            0.020378,           0.0048853,             0.61305,             0.38506,             0.36134,             0.12296,            0.047315,            0.016492,           0.0047427,           0.0082157,           0.0082157,            0.025716
                  14,            0.069545,            0.020785,           0.0043106,             0.53339,             0.53065,             0.35489,            0.089615,            0.050019,            0.017391,           0.0038398,           0.0087973,           0.0087973,            0.020397
                  15,            0.068111,            0.018734,           0.0049039,             0.74676,             0.31542,             0.32485,            0.093454,             0.05345,            0.015483,           0.0047552,           0.0093778,           0.0093778,            0.015078
                  16,            0.066766,            0.020287,           0.0043525,             0.55802,             0.39392,             0.37213,             0.12374,            0.050149,            0.014736,           0.0036486,            0.009937,            0.009937,            0.009937
                  17,            0.065782,            0.019296,           0.0036761,             0.67673,             0.40497,             0.28508,            0.067811,            0.048047,            0.014774,           0.0039854,            0.009937,            0.009937,            0.009937
                  18,            0.061892,            0.019219,           0.0038824,             0.35473,             0.44496,             0.37054,             0.11126,            0.048276,             0.01439,           0.0022474,           0.0099289,           0.0099289,           0.0099289
                  19,            0.064315,            0.018615,           0.0033455,             0.71696,             0.51541,             0.47294,             0.11018,            0.044132,            0.013929,           0.0030944,           0.0099203,           0.0099203,           0.0099203
                  20,            0.056361,            0.020142,           0.0035626,             0.84799,             0.40873,             0.55639,             0.22689,            0.039921,            0.013919,            0.002381,           0.0099112,           0.0099112,           0.0099112
                  21,            0.056366,            0.017527,           0.0030089,             0.51398,             0.56822,             0.53046,             0.23239,            0.042746,            0.014599,            0.001639,           0.0099017,           0.0099017,           0.0099017
                  22,            0.054127,            0.018164,           0.0027041,             0.75665,              0.5384,              0.6127,              0.2367,            0.041755,            0.014457,           0.0018131,           0.0098916,           0.0098916,           0.0098916
                  23,            0.053567,            0.019179,           0.0027627,             0.64266,             0.57125,             0.59464,             0.24279,            0.036388,            0.013282,           0.0018077,           0.0098811,           0.0098811,           0.0098811
                  24,            0.050695,            0.016495,           0.0026915,               0.389,             0.74849,             0.63407,             0.33252,            0.034001,            0.012024,           0.0014554,           0.0098701,           0.0098701,           0.0098701
                  25,              0.0485,            0.016724,           0.0022964,             0.77811,             0.64855,             0.69508,             0.30247,            0.032091,            0.012472,            0.001619,           0.0098586,           0.0098586,           0.0098586
                  26,            0.046154,            0.015879,           0.0025105,             0.38843,             0.69824,             0.62753,             0.28393,            0.034622,            0.011897,           0.0019374,           0.0098467,           0.0098467,           0.0098467
                  27,            0.046957,            0.016231,           0.0023254,             0.63338,             0.69921,             0.75417,             0.39302,            0.031316,             0.01109,            0.001407,           0.0098342,           0.0098342,           0.0098342
                  28,            0.045593,            0.015593,           0.0023656,             0.64579,             0.72258,             0.74007,             0.38285,            0.032294,            0.011683,           0.0016765,           0.0098213,           0.0098213,           0.0098213
                  29,            0.047438,            0.016599,           0.0023677,             0.72038,             0.73438,             0.77337,             0.41182,              0.0337,            0.011014,           0.0015921,           0.0098079,           0.0098079,           0.0098079
                  30,            0.046505,            0.015222,           0.0024198,              0.7011,             0.74764,             0.79315,             0.38978,             0.03039,            0.010691,           0.0017206,           0.0097941,           0.0097941,           0.0097941
                  31,            0.043196,            0.015484,           0.0022784,             0.86812,             0.63673,             0.75036,             0.39371,             0.03205,            0.010301,           0.0016017,           0.0097798,           0.0097798,           0.0097798
                  32,            0.043005,            0.014014,           0.0020703,             0.61382,             0.81649,             0.81596,               0.375,            0.033074,            0.010581,           0.0013727,            0.009765,            0.009765,            0.009765
                  33,            0.040436,             0.01415,           0.0019785,             0.72204,             0.74387,             0.79624,              0.4349,            0.028278,            0.010225,           0.0014944,           0.0097497,           0.0097497,           0.0097497
                  34,            0.045848,            0.014091,           0.0022684,             0.70164,             0.80052,             0.84976,             0.40137,            0.029777,            0.010235,           0.0018237,            0.009734,            0.009734,            0.009734
                  35,            0.038168,            0.014185,            0.002518,             0.77086,             0.82646,             0.85895,             0.47546,              0.0258,           0.0097275,           0.0015923,           0.0097178,           0.0097178,           0.0097178
                  36,            0.038131,            0.014278,           0.0019462,             0.66446,             0.78004,             0.78607,             0.44225,             0.02906,           0.0096473,           0.0013556,           0.0097011,           0.0097011,           0.0097011
                  37,            0.040191,            0.013057,            0.001838,             0.71188,             0.84561,             0.86237,             0.48936,            0.027383,           0.0095354,           0.0011842,            0.009684,            0.009684,            0.009684
                  38,            0.039935,             0.01384,           0.0018103,             0.69683,              0.8202,             0.86208,             0.47352,             0.02664,           0.0097083,           0.0012901,           0.0096664,           0.0096664,           0.0096664
                  39,            0.039817,            0.013412,           0.0020489,             0.80952,             0.87682,             0.89134,             0.42655,            0.028166,           0.0094937,           0.0013703,           0.0096484,           0.0096484,           0.0096484
                  40,            0.038719,             0.01343,           0.0018974,             0.71147,             0.87587,              0.8655,             0.44854,            0.027466,           0.0092623,           0.0012112,           0.0096299,           0.0096299,           0.0096299
                  41,            0.035899,            0.012533,           0.0016134,             0.72229,             0.79507,             0.81265,              0.5056,            0.025623,           0.0090708,           0.0013752,            0.009611,            0.009611,            0.009611
                  42,            0.036999,            0.012736,           0.0016266,             0.71421,             0.85589,             0.88166,             0.48802,            0.025548,           0.0089695,            0.001311,           0.0095916,           0.0095916,           0.0095916
                  43,            0.036238,            0.012153,           0.0015719,               0.802,             0.90843,             0.90566,             0.49591,            0.025495,           0.0090241,             0.00116,           0.0095717,           0.0095717,           0.0095717
